#Pixel Wavelength_nm Field30 Field175 Field320 Field465 Field610
390.0000 684.5282 1.0754 1.1194 1.0960 1.1003 1.0472
391.0000 679.5083 1.1210 1.1799 1.1220 1.1507 1.0953
392.0000 674.4885 1.2546 1.3081 1.2592 1.2605 1.1746
393.0000 669.4691 1.2996 1.3762 1.4104 1.4115 1.2915
394.0000 664.4499 1.1032 1.1554 1.1671 1.2316 1.2136
395.0000 659.4310 1.1368 1.1772 1.1658 1.1562 1.1075
396.0000 654.4123 1.1370 1.2002 1.1979 1.2271 1.1587
397.0000 649.3940 1.1551 1.2093 1.2149 1.2225 1.1372
398.0000 644.3759 1.1617 1.2170 1.2230 1.2346 1.1627
399.0000 639.3582 1.1485 1.1745 1.1839 1.1962 1.1516
400.0000 634.3408 1.1034 -99999 -99999 -99999 -99999        
401.0000 629.3237 1.1164 1.1630 1.1632 1.1620 1.1543
402.0000 624.3069 1.1204 1.1794 1.1743 1.1692 1.1087
403.0000 619.2905 1.1247 1.1450 1.1589 1.1641 1.0909
404.0000 614.2745 1.1421 1.1572 1.1694 1.1966 1.1288
405.0000 609.2588 1.1561 1.1973 1.1845 1.2049 1.1468
406.0000 604.2435 1.1570 1.2262 1.1946 1.2143 1.1630
407.0000 599.2285 1.1260 1.2025 1.2059 1.2449 1.1673
408.0000 594.2140 1.1185 1.1458 1.1748 1.2055 1.1336
409.0000 589.1999 1.0675 1.1289 1.1012 1.0973 1.0913
410.0000 584.1862 1.0493 1.1023 1.0837 1.1082 1.0758
411.0000 579.1729 1.0350 1.0908 1.0880 1.0847 1.0662
412.0000 574.1601 1.0311 1.0908 1.0938 1.0782 1.0293
413.0000 569.1477 1.0627 1.1135 1.1212 1.1157 1.0383
414.0000 564.1358 1.0957 1.1396 1.1065 1.1438 1.0570
415.0000 559.1244 1.1160 1.1501 1.1425 1.1600 1.1132
416.0000 554.1134 1.1230 1.1678 1.1783 1.1783 1.1206
417.0000 549.1030 1.1026 1.1455 1.1547 1.1626 1.1388
418.0000 544.0930 1.0952 1.1490 1.1378 1.1500 1.0981
419.0000 539.0836 1.1018 1.1366 1.1463 1.1510 1.0892
420.0000 534.0747 1.1063 1.1381 1.1558 1.1367 1.1126
421.0000 529.0664 1.1160 1.1647 1.1613 1.1698 1.1259
422.0000 524.0586 1.1010 1.1450 1.1431 1.1574 1.1105
423.0000 519.0515 1.0868 1.1459 1.1344 1.1914 1.1066
424.0000 514.0449 1.0939 1.1713 1.1355 1.1793 1.1032
425.0000 509.0389 1.0905 1.1496 1.1431 1.0728 1.0533
426.0000 504.0335 1.1131 1.0850 1.1447 1.1201 1.0891
427.0000 499.0287 1.1159 1.1445 1.1419 1.1553 1.1179
428.0000 494.0246 1.1402 1.1720 1.1601 1.1778 1.1362
429.0000 489.0211 1.1311 1.1606 1.1859 1.1732 1.1358
430.0000 484.0184 1.1108 1.1607 1.1578 1.1947 1.1357
431.0000 479.0163 1.0764 1.1210 1.1092 1.1145 1.0804
432.0000 474.0149 1.0343 1.0695 1.0684 1.0556 1.0333
433.0000 469.0142 1.0346 1.0822 1.0697 1.0875 1.0550
434.0000 464.0143 1.0254 1.0431 1.0514 1.0134 1.0250
435.0000 459.0151 1.0338 1.0445 1.0626 1.0271 0.9971
436.0000 454.0167 1.0689 1.0903 1.1010 1.0754 1.0266
437.0000 449.0190 1.0839 1.0992 1.1025 1.0704 1.0557
438.0000 444.0222 -99999 -99999 -99999 1.2236 1.1827
439.0000 439.0261 -99999 -99999 -99999 -99999 -99999     
440.0000 434.0309 -99999 -99999 -99999 -99999 -99999     
441.0000 429.0366 -99999 -99999 -99999 -99999 -99999     
442.0000 424.0431 -99999 -99999 -99999 -99999 -99999     
443.0000 419.0505 -99999 -99999 -99999 -99999 -99999     
444.0000 414.0587 -99999 -99999 -99999 -99999 -99999     
445.0000 409.0679 -99999 -99999 -99999 -99999 -99999     
446.0000 404.0781 -99999 -99999 -99999 -99999 -99999     
447.0000 399.0892 -99999 -99999 -99999 -99999 -99999     
448.0000 394.1012 -99999 -99999 -99999 -99999 -99999     
449.0000 389.1143 -99999 -99999 -99999 -99999 -99999     
450.0000 384.1283 -99999 -99999 -99999 -99999 -99999     
451.0000 379.1434 -99999 -99999 -99999 -99999 -99999     
452.0000 374.1595 -99999 -99999 -99999 -99999 -99999     
453.0000 369.1768 -99999 -99999 -99999 -99999 -99999     
454.0000 364.1950 -99999 -99999 -99999 -99999 -99999     
455.0000 359.2144 -99999 -99999 -99999 -99999 -99999     
456.0000 354.2350 -99999 -99999 -99999 -99999 -99999     
457.0000 349.2566 -99999 -99999 -99999 -99999 -99999     
458.0000 344.2795 -99999 -99999 -99999 -99999 -99999     
459.0000 339.3035 -99999 -99999 -99999 -99999 -99999     
460.0000 334.3288 -99999 -99999 -99999 -99999 -99999     
461.0000 329.3553 -99999 -99999 -99999 -99999 -99999     
462.0000 324.3830 -99999 -99999 -99999 -99999 -99999     
463.0000 319.4120 -99999 -99999 -99999 -99999 -99999     
464.0000 314.4424 -99999 -99999 -99999 -99999 -99999     
465.0000 309.4740 -99999 -99999 -99999 -99999 -99999     
466.0000 304.5070 -99999 -99999 -99999 -99999 -99999     
467.0000 299.5414 -99999 -99999 -99999 -99999 -99999     
468.0000 294.5771 -99999 -99999 -99999 -99999 -99999     
469.0000 289.6143 -99999 -99999 -99999 -99999 -99999     
470.0000 284.6530 -99999 -99999 -99999 -99999 -99999     
471.0000 279.6931 -99999 -99999 -99999 -99999 -99999     
472.0000 274.7347 -99999 -99999 -99999 -99999 -99999     
473.0000 269.7778 -99999 -99999 -99999 -99999 -99999     
474.0000 264.8224 -99999 -99999 -99999 -99999 -99999     
475.0000 259.8687 -99999 -99999 -99999 -99999 -99999     
476.0000 254.9165 -99999 -99999 -99999 -99999 -99999     
477.0000 249.9659 -99999 -99999 -99999 -99999 -99999     
478.0000 245.0170 -99999 -99999 -99999 -99999 -99999     
479.0000 240.0698 -99999 -99999 -99999 -99999 -99999     
