#Pixel Wavelength_nm Field30 Field175 Field320 Field465 Field610
91.0000 2183.0634 1.1140 1.1448 1.1131 1.1186 1.1327
92.0000 2178.0780 1.1256 1.1258 1.0981 1.1071 1.1146
93.0000 2173.0924 1.1298 1.1194 1.0931 1.1228 1.1241
94.0000 2168.1065 1.1096 1.1256 1.0856 1.1092 1.1108
95.0000 2163.1204 1.1314 1.1533 1.1197 1.1392 1.1466
96.0000 2158.1339 1.1217 1.1296 1.0967 1.1365 1.1513
97.0000 2153.1472 1.0930 1.1085 1.0663 1.0886 1.1297
98.0000 2148.1603 1.1158 1.1333 1.1154 1.0987 1.0905
99.0000 2143.1731 1.1342 1.1490 1.1139 1.1253 1.0985
100.0000 2138.1856 1.1531 1.1644 1.1306 1.1452 1.1239
101.0000 2133.1979 1.2085 1.2146 1.1769 1.1856 1.2011
102.0000 2128.2099 1.1662 1.1644 1.1244 1.1422 1.1653
103.0000 2123.2216 1.0985 1.1011 1.0889 1.0897 1.1040
104.0000 2118.2331 1.0832 1.0843 1.0570 1.0831 1.0736
105.0000 2113.2443 1.0750 1.0681 1.0323 1.0346 1.0612
106.0000 2108.2552 1.0751 1.0705 1.0303 1.0471 1.0394
107.0000 2103.2659 1.1254 1.1347 1.1027 1.1054 1.1051
108.0000 2098.2764 1.1307 1.1263 1.1040 1.0899 1.1210
109.0000 2093.2865 1.1195 1.1291 1.1029 1.1181 1.1476
110.0000 2088.2965 1.1418 1.1354 1.1085 1.1269 1.1233
111.0000 2083.3061 1.1397 1.1484 1.1083 1.1007 1.1223
112.0000 2078.3155 1.1126 1.1266 1.0907 1.1256 1.1241
113.0000 2073.3247 1.1390 1.1343 1.1215 1.1264 1.1562
114.0000 2068.3336 1.1229 1.1261 1.0900 1.1170 1.1433
115.0000 2063.3422 1.1297 1.1410 1.0967 1.1178 1.1353
116.0000 2058.3506 1.1604 1.1463 1.1152 1.1253 1.1380
117.0000 2053.3587 1.1341 1.1251 1.0970 1.1241 1.1177
118.0000 2048.3666 1.1837 1.1771 1.1366 1.1563 1.1531
119.0000 2043.3742 1.1747 1.1927 1.1732 1.1738 1.1786
120.0000 2038.3816 1.1481 1.1415 1.1106 1.1377 1.1494
121.0000 2033.3887 1.0840 1.1034 1.0646 1.1064 1.1060
122.0000 2028.3956 1.0946 1.0752 1.0305 1.0736 1.0694
123.0000 2023.4022 1.0787 1.0778 1.0375 1.0573 1.0611
124.0000 2018.4086 1.0774 1.0809 1.0526 1.0569 1.0597
125.0000 2013.4147 1.1324 1.1080 1.0766 1.1099 1.1165
126.0000 2008.4206 1.1151 1.1360 1.1101 1.1242 1.1342
127.0000 2003.4262 1.1333 1.1526 1.1173 1.1220 1.1308
128.0000 1998.4316 1.1408 1.1398 1.1128 1.1492 1.1362
129.0000 1993.4368 1.1390 1.1448 1.1091 1.1234 1.1354
130.0000 1988.4417 1.1355 1.1434 1.0989 1.1287 1.0986
131.0000 1983.4464 1.1371 1.1217 1.0987 1.1021 1.1167
132.0000 1978.4508 1.1282 1.1229 1.0990 1.1156 1.1350
133.0000 1973.4550 1.1444 1.1417 1.1047 1.1210 1.1685
134.0000 1968.4589 1.1407 1.1269 1.0766 1.0996 1.1281
